profile_name,offer_id,title,company,experience_level,workplace_type,city,technologies,salary_range,bi_score,cross_score,relevant
frontend-react-junior,183,"Junior React Developer","Link Group",junior,hybrid,"Warszawa","TypeScript; REST; React; API; JavaScript; HTML; CSS3","10080-10920 PLN",NaN,0.8340,1
frontend-react-junior,2486,"Fullstack Internship | RAS TECH Summer","Ringier Axel Springer Tech",junior,hybrid,"Kraków","TypeScript; JavaScript; R","5400-5400 PLN",NaN,0.0435,0
frontend-mid,363,"React.js Developer","SMART TOPAZ",mid,remote,"Poland (Remote)","Next.js; JavaScript; HTML; REST API; React.JS","14000-20000 PLN",NaN,0.4159,1
frontend-mid,5282,"Fullstack developer (Node.js and React) (f/m/d)","FIEGE Sp. z.o.o.",mid,remote,"Warszawa","React; Node.js","15000-18000 PLN",NaN,0.4153,1
frontend-mid,183,"Junior React Developer","Link Group",junior,hybrid,"Warszawa","TypeScript; REST; React; API; JavaScript; HTML; CSS3","10080-10920 PLN",NaN,0.4140,1
frontend-mid,529,"React Developer | Fintech | Java Experience Required","Caspian One",mid,hybrid,"Kraków","TypeScript; React; Java","27300-37800 PLN",NaN,0.3887,1
frontend-mid,366,"Software Engineer - Frontend","Evidence Prime",mid,remote,"Kraków","TypeScript; React; JavaScript; HTML5; REST API; Git; CSS3","14000-16500 PLN",NaN,0.3640,1
frontend-mid,3231,"React Native Developer","Miquido",mid,remote,"Kraków","React; Git; JS","14280-19320 PLN",NaN,0.3573,0
frontend-mid,390,"Frontend Developer","Primaris Services",mid,remote,"Warszawa","TypeScript; Next.js; JavaScript; Python; Reac","20160-23520 PLN",NaN,0.3454,1
frontend-mid,143,"Front-end Developer (Angular)","Eyzee S.A.",mid,remote,"Warszawa","JavaScript; Node.js; HTML5; CSS3; Angular 9+","12000-20000 PLN",NaN,0.3301,0
frontend-mid,149,"Full Stack Developer","WAYF",mid,remote,"Poland (Remote)","TypeScript; Next.js; PostgreSQL; Node.js; React Native; Nest.js","10000-17000 PLN",NaN,0.3176,0
frontend-mid,135,"Fullstack Engineer (NodeJS, ReactJS)","SwingDev—a hippo company",mid,remote,"Warszawa","TypeScript; React; JavaScript; Node.js; Microservices; Nest.js","23000-26000 PLN",NaN,0.3175,1
frontend-mid,5065,"Frontend Software Engineer","Grupa Agora",mid,remote,"Warszawa","TypeScript; Next.js; JavaScript","11000-14000 PLN",NaN,0.3126,1
frontend-mid,54,"Fullstack Developer","speedapp",mid,remote,"Warszawa","TypeScript; Next.js; PostgreSQL; React; Node.js; HTML; CSS; ORM; REST API; UX/UI","18000-19999 PLN",NaN,0.2909,1
frontend-mid,5477,"Mid React Developer","Link Group",mid,remote,"","TypeScript; React; JavaScript","13000-16500 PLN",NaN,0.2907,1
frontend-mid,244,"Full Stack Software Engineer (Node.js, React.js, AWS)","Bayer Sp. z o.o.",mid,hybrid,"Warszawa","TypeScript; JavaScript; Node.js; HTML; CSS; Git; Terraform; aws lambda; React.JS; AWS","15360-19200 PLN",NaN,0.2844,1
frontend-mid,5,"Frontend Developer","the.good.code;",mid,hybrid,"Gdańsk","TypeScript; Next.js; React","13440-16800 PLN",NaN,0.2746,1
frontend-mid,5731,"Fullstack Developer (React + Node.js)","Mood Up",mid,hybrid,"Poznań","TypeScript; React; JavaScript","16000-21000 PLN",NaN,0.2700,1
frontend-mid,50,"Backend Developer (Mid)","Framna (formerly Bright Inventions)",mid,hybrid,"Gdańsk","TypeScript; React; JavaScript; Node.js; AI; Nest.js; AWS","18772-21220 PLN",NaN,0.2588,0
frontend-mid,1239,"Frontend Developer  (TypeScript)","optAd360",mid,hybrid,"Wrocław","TypeScript; Angular; React; HTML; CSS; Jest; Cypress; JS","12000-15500 PLN",NaN,0.2544,1
