profile_name,offer_id,title,company,experience_level,workplace_type,city,technologies,salary_range,cross_score,relevant
frontend-react-junior,183,"Junior React Developer","Link Group",junior,hybrid,"Warszawa","TypeScript; REST; React; API; JavaScript; HTML; CSS3","10080-10920 PLN",0.834022,1
frontend-react-junior,138,"Junior Developer with AI - part time/full time","Pirxey",junior,remote,"Gdańsk","TypeScript; Angular; React; JavaScript; Node.js; HTML; Python; CSS; Vue.js; SQL; Analytical Thinking","5800-8000 PLN",0.825148,1
frontend-react-junior,3949,"Junior Frontend Developer","best HR and PM solutions",junior,remote,"Cracow","JavaScript; HTML; CSS; Git; SEO; CMS","7000-9000 PLN",0.623132,1
frontend-react-junior,209,"Junior Angular Developer","Link Group",junior,remote,"Warszawa","TypeScript; Angular; HTML; CSS; REST API; NgRx; Jasmine; RxJS; Karma","8400-13440 PLN",0.457301,0
frontend-react-junior,737,"JS / Junior Developer","Arrmy.gg",junior,hybrid,"Gdynia","JavaScript; HTML; Git","6000-10000 PLN",0.339264,1
frontend-react-junior,2485,"AI Fullstack Internship | RAS TECH Summer","Ringier Axel Springer Tech",junior,hybrid,"Kraków","TypeScript; React; Git","5400-5400 PLN",0.167371,1
frontend-react-junior,1218,"CCM Developer","Quertum",junior,hybrid,"Warszawa","HTML; JSON; XML","7800-10800 PLN",0.092493,0
frontend-react-junior,2486,"Fullstack Internship | RAS TECH Summer","Ringier Axel Springer Tech",junior,hybrid,"Kraków","TypeScript; JavaScript; R","5400-5400 PLN",0.043466,1
frontend-mid,25,"Fullstack Developer (Node.js/Nest.js + Next.js) - Mid+/Senior (100% Remote)","iMakeable",mid,remote,"Wrocław","TypeScript; Next.js; Docker; Node.js; Express.js; CI/CD; ORM; Git; Nest.js; AWS","16800-24360 PLN",0.785400,1
frontend-mid,452,"React Developer","RITS Professional Services",mid,remote,"Warszawa","TypeScript; ReactJS; HTML5; material UI; Redux; CSS3; SASS; JavaScript (ES6+); tailwind; React Query","18480-23520 PLN",0.729007,1
frontend-mid,344,"Node.js Developer","ITLT",mid,remote,"Warszawa","Node.js; Nest.js; Redis; TypeORM; nx.dev","20160-25200 PLN",0.661053,1
frontend-mid,290,"Node.js Developer","The Software House",mid,remote,"Gliwice","TypeScript; Node.js; CI/CD; Amazon AWS; SQL; React.JS","9500-16000 PLN",0.543116,1
frontend-mid,209,"Junior Angular Developer","Link Group",junior,remote,"Warszawa","TypeScript; Angular; HTML; CSS; REST API; NgRx; Jasmine; RxJS; Karma","8400-13440 PLN",0.465255,1
frontend-mid,472,"Web Developer","CodeTwo sp. z o.o. sp. k.",mid,remote,"Jelenia Góra","React; JavaScript; C#; CSS; Azure; ASP.NET; Visual Studio","10000-17000 PLN",0.450337,1
frontend-mid,37,"Mid/Senior Fullstack & AI Integration Developer z j. angielskim lub niemieckim (Instore Sensorics and Data)","dmTECH Polska",mid,remote,"Wrocław","Angular; React; Node.js; AI; Vue.js","16800-30240 PLN",0.438504,1
frontend-mid,213,"Fullstack Developer (Node.js, React)","Next Technology Professionals",mid,hybrid,"Warszawa","TypeScript; React; API; Node.js; AWS","13000-15000 PLN",0.434575,1
frontend-mid,147,"React Native Developer","Goodspeed Digital",mid,remote,"Warszawa","TypeScript; React Native; Firebase","18000-23000 PLN",0.420198,1
