bi_threshold,cross_threshold,skill_ratio,total_returned,true_positives,false_positives,false_negatives,precision_pct,recall_pct,f1_pct,avg_per_profile
0.2,0.6,0,82,62,20,1,75.6,98.4,85.5,9.1
0.2,0.6,0.2,82,62,20,1,75.6,98.4,85.5,9.1
0.25,0.6,0,82,62,20,1,75.6,98.4,85.5,9.1
0.25,0.6,0.2,82,62,20,1,75.6,98.4,85.5,9.1
0.3,0.6,0,82,62,20,1,75.6,98.4,85.5,9.1
0.3,0.6,0.2,82,62,20,1,75.6,98.4,85.5,9.1
0.35,0.6,0,82,62,20,1,75.6,98.4,85.5,9.1
0.35,0.6,0.2,82,62,20,1,75.6,98.4,85.5,9.1
0.4,0.6,0,82,62,20,1,75.6,98.4,85.5,9.1
0.4,0.6,0.2,82,62,20,1,75.6,98.4,85.5,9.1
0.2,0.6,0.3,73,57,16,6,78.1,90.5,83.8,8.1
0.25,0.6,0.3,73,57,16,6,78.1,90.5,83.8,8.1
0.3,0.6,0.3,73,57,16,6,78.1,90.5,83.8,8.1
0.35,0.6,0.3,73,57,16,6,78.1,90.5,83.8,8.1
0.4,0.6,0.3,73,57,16,6,78.1,90.5,83.8,8.1
0.2,0.5,0,88,62,26,1,70.5,98.4,82.1,9.8
0.2,0.5,0.2,88,62,26,1,70.5,98.4,82.1,9.8
0.25,0.5,0,88,62,26,1,70.5,98.4,82.1,9.8
0.25,0.5,0.2,88,62,26,1,70.5,98.4,82.1,9.8
0.3,0.5,0,88,62,26,1,70.5,98.4,82.1,9.8
0.3,0.5,0.2,88,62,26,1,70.5,98.4,82.1,9.8
0.35,0.5,0,88,62,26,1,70.5,98.4,82.1,9.8
0.35,0.5,0.2,88,62,26,1,70.5,98.4,82.1,9.8
0.4,0.5,0,88,62,26,1,70.5,98.4,82.1,9.8
0.4,0.5,0.2,88,62,26,1,70.5,98.4,82.1,9.8
0.2,0.5,0.3,76,57,19,6,75,90.5,82,8.4
0.25,0.5,0.3,76,57,19,6,75,90.5,82,8.4
0.3,0.5,0.3,76,57,19,6,75,90.5,82,8.4
0.35,0.5,0.3,76,57,19,6,75,90.5,82,8.4
0.4,0.5,0.3,76,57,19,6,75,90.5,82,8.4
0.2,0.4,0,90,62,28,1,68.9,98.4,81,10
0.2,0.4,0.2,90,62,28,1,68.9,98.4,81,10
0.25,0.4,0,90,62,28,1,68.9,98.4,81,10
0.25,0.4,0.2,90,62,28,1,68.9,98.4,81,10
0.3,0.4,0,90,62,28,1,68.9,98.4,81,10
0.3,0.4,0.2,90,62,28,1,68.9,98.4,81,10
0.35,0.4,0,90,62,28,1,68.9,98.4,81,10
0.35,0.4,0.2,90,62,28,1,68.9,98.4,81,10
0.4,0.4,0,90,62,28,1,68.9,98.4,81,10
0.4,0.4,0.2,90,62,28,1,68.9,98.4,81,10
0.2,0.4,0.3,78,57,21,6,73.1,90.5,80.9,8.7
0.25,0.4,0.3,78,57,21,6,73.1,90.5,80.9,8.7
0.3,0.4,0.3,78,57,21,6,73.1,90.5,80.9,8.7
0.35,0.4,0.3,78,57,21,6,73.1,90.5,80.9,8.7
0.4,0.4,0.3,78,57,21,6,73.1,90.5,80.9,8.7
0.2,0.3,0.3,80,57,23,6,71.3,90.5,79.7,8.9
0.25,0.3,0.3,80,57,23,6,71.3,90.5,79.7,8.9
0.3,0.3,0.3,80,57,23,6,71.3,90.5,79.7,8.9
0.35,0.3,0.3,80,57,23,6,71.3,90.5,79.7,8.9
0.4,0.3,0.3,80,57,23,6,71.3,90.5,79.7,8.9
0.2,0.3,0,97,63,34,0,64.9,100,78.8,10.8
0.2,0.3,0.2,97,63,34,0,64.9,100,78.8,10.8
0.25,0.3,0,97,63,34,0,64.9,100,78.8,10.8
0.25,0.3,0.2,97,63,34,0,64.9,100,78.8,10.8
0.3,0.3,0,97,63,34,0,64.9,100,78.8,10.8
0.3,0.3,0.2,97,63,34,0,64.9,100,78.8,10.8
0.35,0.3,0,97,63,34,0,64.9,100,78.8,10.8
0.35,0.3,0.2,97,63,34,0,64.9,100,78.8,10.8
0.4,0.3,0,97,63,34,0,64.9,100,78.8,10.8
0.4,0.3,0.2,97,63,34,0,64.9,100,78.8,10.8
